Country,Country Code,gdp_per_capita,inflation,unemployment_rate,life_expectancy,secondary_enrollment,electricity_access,drinking_water_access,sanitation_access,government_effectiveness,political_stability,rule_of_law,forest_area,pm25_exposure,renewable_energy,cluster
Guyana,GUY,29675.2443873316,2.90395226446373,11.874,70.319,91.4304496450171,98.9,95.6442641595321,91.3087218189458,-0.0982402,0.2164983,-0.334222099999999,87.0878369802027,25.460668047299,12.1,2
Haiti,HTI,2142.62330526788,26.9490564091987,14.609,65.119,92.65956406180274,51.3,73.3157500565915,29.1081189443114,-2.0156868,-1.2013046,-1.6033955,12.2630624092888,21.3502554448061,76.7,0
Honduras,HND,3426.43483328923,4.60621098127107,4.91,73.044,51.7639813154374,95.6,95.7293716551666,87.6717912057898,-0.6196728,-0.5671583,-1.1768036,56.2732147645008,20.3136833896573,45.9,2
"Hong Kong SAR, China",HKG,54074.6928519479,1.72972119105914,2.988,85.3926829268293,107.160326941213,100.0,100.0,94.834373461349,1.6374532,0.6310985,0.9209804,32.4330584816998,20.0287144500145,0.4,1
Hungary,HUN,23292.3263882478,3.70370370370369,4.5,76.7243902439025,107.350929260254,100.0,100.0,97.9736275561386,0.501908,0.4363288,0.1923364,22.4484341442034,14.1364995764273,15.3,1
Iceland,ISL,86040.5309851288,5.85683849970066,3.6,82.809756097561,108.911361694336,100.0,100.0,98.7780018629454,1.645973,1.2056034,1.6278886,0.528744421303184,5.10554827500189,82.4,1
India,IND,2694.73780859961,4.95303550973656,4.173,72.235,78.1058073224606,99.5,95.7247373523918,83.380872478201,0.4046051,-0.785762499999999,-0.0392287,24.5390304689576,48.3948115195574,34.9,2
Indonesia,IDN,4925.43048751861,2.18151273615189,3.301,71.288,98.836444459078,99.4,89.008759557411,88.2031685658499,0.179804,-0.609127499999999,-0.206598099999999,47.7220336902463,17.8814994983985,20.2,2
"Iran, Islamic Rep.",IRN,5190.16959024821,32.455871402917,8.146,77.854,85.1469802856445,100.0,97.8520635920898,90.458288016159,-0.7061233,-1.58118839999999,-1.2348012,6.64923611710324,32.2873733599003,0.9,3
Iraq,IRQ,6073.61032342708,-12.2969837587007,15.293,72.424,92.65956406180274,100.0,98.4076938287767,98.5047513855653,-1.1018847,-2.0642762,-1.3581614,1.90035242899592,38.1750699787954,1.1,3
Ireland,IRL,112894.953240805,2.11344999577317,4.3,83.009756097561,130.604965209961,100.0,97.0980337007013,89.7256064199387,1.6115533,0.7099699,1.5913219,11.5259108724053,8.17058601306707,12.7,1
Israel,ISR,54176.6844383302,3.07480889805025,3.595,83.1975609756098,98.5473403930664,100.0,99.9999993081787,99.9200782006513,1.1726244,-1.03750149999999,0.5997177,6.46950092421442,18.5982756348314,6.2,1
Italy,ITA,40385.3413957669,0.982373023061417,6.5,83.9512195121951,100.678756713867,100.0,99.9170340740928,99.8849043408577,0.7922891,0.3087035,0.6192043,32.8944947923712,14.6586386239905,17.5,1
Jamaica,JAM,7753.8006955432,5.41194447981659,3.151,71.606,84.4572372436523,97.7,87.5562621347732,91.6264600288818,0.1712622,0.476823,-0.0776697,56.190757156048,17.413637041591,10.5,2
Japan,JPN,32487.0778047567,2.73853681635241,2.5,84.0363414634146,101.537071228027,100.0,99.1831679675454,99.9433104207437,2.0879101,1.1343228,1.5115753,68.3957811364628,12.835201662985,8.8,1
