Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Belize,BLZ,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.5207908,-0.527655099999999,-0.4371369,-0.4007135,-0.39715
Belize,BLZ,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.6026689,0.3568757,0.7353533,0.78967,0.7847219
Benin,BEN,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.1887935,-0.2018892,-0.214913499999999,-0.216367999999999,-0.1854211
Benin,BEN,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,-0.393457699999999,-0.3852134,-0.468466,-0.390917399999999,-0.4124793
Benin,BEN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,-0.283192699999999,-0.4106645,-0.4373008,-0.3096247,-0.4030099
Bermuda,BMU,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,1.4534103,1.4563194,1.214283,1.4768692,1.4756305
Bermuda,BMU,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,0.6485582,0.6399761,0.8013243,0.8002751,0.8001056
Bermuda,BMU,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,0.9766825,0.974511,0.9782486,0.9788563,0.9711697
Bhutan,BTN,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,0.4837444,0.5963822,0.5347986,0.5353028,0.5808357
Bhutan,BTN,Rule of Law - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_RL.EST,0.6470186,0.6782878,0.6837835,0.7200012,0.7902665
Bhutan,BTN,Political Stability - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_PV.EST,1.1154419,0.9391838,1.3224382,1.3322654,1.3541153
Bolivia,BOL,Government Effectiveness - Governance estimate (approx. -2.5 to +2.5),GOV_WGI_GE.EST,-0.4718419,-0.4784584,-0.4335715,-0.4093864,-0.6104172
