Country Name,Country Code,Series Name,Series Code,2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Cuba,CUB,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,94.3125042863125,94.7764082535519,94.9002231685934,95.0236345510277,95.1464064347704,..
Cuba,CUB,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,92.1835753798285,92.8284902817438,93.4747105097717,94.1220801306732,94.7703506688301,..
Curacao,CUW,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Curacao,CUW,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100,100,100,..
Curacao,CUW,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,..,..,..,..,..,..
Cyprus,CYP,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Cyprus,CYP,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,99.7455373868703,99.737372137771,99.7292193859115,99.7210789435355,99.7211088299984,..
Cyprus,CYP,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,99.4959339092573,99.4893875128893,99.4830286709908,99.4768823557025,99.477676242612,..
Czechia,CZE,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Czechia,CZE,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,98.7321788477487,98.7326235754859,98.7330958150591,98.7336065681001,98.7341483522106,..
Czechia,CZE,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,99.0728030542538,99.0721814938167,99.0715177493914,99.0708089030162,99.0700543925256,..
Denmark,DNK,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Denmark,DNK,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,100,100,100,99.9999977179038,99.9999997876119,..
Denmark,DNK,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,99.5972310070963,99.5972289739284,99.5972313839473,99.5972246130908,99.5972261435858,..
Djibouti,DJI,Access to electricity (% of population),EG.ELC.ACCS.ZS,64.5,65.4,65,65.2,..,..
Djibouti,DJI,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,78.7317549952208,78.9636292425205,79.1958862115465,79.4286344922977,79.661532568521,..
Djibouti,DJI,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,66.7421157146302,66.8311205695029,66.9247194918968,67.0234840121481,..,..
Dominica,DMA,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,..,..
Dominica,DMA,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,96.574889313875,96.6813469673205,96.7869037849825,96.8915616749148,96.9953113262366,..
Dominica,DMA,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,..,..,..,..,..,..
Dominican Republic,DOM,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,98.1,98.1,99.6,..,..
Dominican Republic,DOM,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,96.8998955257888,97.3054739452924,97.3603332914567,97.4107460357747,97.4571299883182,..
Dominican Republic,DOM,People using at least basic sanitation services (% of population),SH.STA.BASS.ZS,88.0566185078015,88.5790077931484,89.0968114947434,89.6102380882298,90.1198237574984,..
Ecuador,ECU,Access to electricity (% of population),EG.ELC.ACCS.ZS,98.9,100,100,98.7,..,..
Ecuador,ECU,People using at least basic drinking water services (% of population),SH.H2O.BASW.ZS,91.4742997917839,91.6679688457759,91.7264833659447,91.8598075666082,92.0708709697554,..
