Country_slqi,Country Code,slqi_rank,slqi_score,economic_score,health_education_score,infrastructure_score,governance_score,environment_score,Country_for_merge,Country_hdi,hdi_rank,hdi_2023
Eritrea,ERI,163,0.5214003850086087,0.5974535549085341,0.3548563422806827,0.7982145566967991,0.2425089766273997,0.5290494222026721,Eritrea,Eritrea,178.0,0.503
Ghana,GHA,164,0.519987886787069,0.5927443639523753,0.4067123793517122,0.6563500550699614,0.5577991946950394,0.3874989390738227,Ghana,Ghana,143.0,0.628
Comoros,COM,165,0.5148339732341147,0.6078408290539878,0.3601814211263194,0.7275354822367662,0.3515134080781021,0.500052054053833,Comoros,Comoros,152.0,0.603
Senegal,SEN,166,0.5147154567533686,0.6239856066495805,0.3554176863010941,0.7077560634296054,0.5320259698732771,0.3570725045880604,Senegal,Senegal,169.0,0.53
Rwanda,RWA,167,0.5096797539118184,0.5391930811635587,0.3564001086618703,0.6032901424605491,0.5788688626937285,0.5401536070311832,Rwanda,Rwanda,159.0,0.578
Pakistan,PAK,168,0.5029406015500616,0.5805477397990689,0.3513367761924042,0.8317107418178445,0.2643052477680531,0.335505233345814,Pakistan,Pakistan,168.0,0.544
Namibia,NAM,169,0.5017449948370232,0.4640175212558092,0.4553894621562271,0.5496510121693762,0.6235544761783286,0.4019861932467466,Namibia,Namibia,136.0,0.665
Syrian Arab Republic,SYR,170,0.4985114879085812,0.5177324262447472,0.3953033139381094,0.912502696744354,0.0977785808856462,0.2648643663101375,Syrian Arab Republic,Syrian Arab Republic,162.0,0.564
Zambia,ZMB,171,0.4831043291800621,0.572910434580127,0.3588027734844247,0.4574094185462223,0.4562840898591034,0.750046764226599,Zambia,Zambia,154.0,0.595
Djibouti,DJI,172,0.4786592856663337,0.3999159760402364,0.4692504937580828,0.6493510726258961,0.38880485140409,0.2984432695766862,Djibouti,Djibouti,175.0,0.513
Angola,AGO,173,0.478172526309341,0.4771498809214047,0.3146732301035021,0.6355893161026664,0.3530410529306507,0.6161507761050157,Angola,Angola,148.0,0.616
Kenya,KEN,174,0.4703034098310684,0.593043384641373,0.4051854642040258,0.5180231515263831,0.3849716571623156,0.5086049204897413,Kenya,Kenya,143.0,0.628
Uganda,UGA,175,0.4626411002983376,0.6200275819951991,0.5051082553549694,0.3543914048393576,0.3851053174297464,0.5668176428403845,Uganda,Uganda,157.0,0.582
Zimbabwe,ZWE,176,0.4555333615911062,0.411459906658691,0.4200068806766693,0.4531384902639854,0.3005067378205472,0.7157849931330573,Zimbabwe,Zimbabwe,153.0,0.598
"Yemen, Rep.",YEM,177,0.4485587887919108,0.4909912556782923,0.5200476816307837,0.67555863912956,0.0464264212466425,0.2254253587265472,Yemen,Yemen,184.0,0.47
Cote d'Ivoire,CIV,178,0.4453583870191117,0.6262665623552007,0.3169134016160798,0.5632352717666442,0.4140539254940445,0.377193599631118,Côte d'Ivoire,Côte d'Ivoire,157.0,0.582
Cameroon,CMR,179,0.4444255853528985,0.6108266441357736,0.2801365229793651,0.556362976753617,0.2696117221048476,0.6130087513579957,Cameroon,Cameroon,155.0,0.588
Mozambique,MOZ,180,0.4439403230236015,0.5805181970103092,0.43150961120206,0.3731716075480905,0.2651164524306593,0.6981111322195104,Mozambique,Mozambique,182.0,0.493
Guinea-Bissau,GNB,181,0.4411437474211638,0.6202096984015544,0.4386811635214374,0.328183076612337,0.3008552641376027,0.6929014394682381,Guinea-Bissau,Guinea-Bissau,174.0,0.514
Tanzania,TZA,182,0.4396187855905277,0.6319617635316557,0.2775332599000417,0.4009499998428786,0.4553714206933452,0.697146121403228,Tanzania (United Republic of),Tanzania (United Republic of),165.0,0.555
Lesotho,LSO,183,0.4366496965241125,0.4845592205238658,0.3373692559199057,0.542170495919158,0.4477772806540649,0.3811017121459806,Lesotho,Lesotho,167.0,0.55
Sudan,SDN,184,0.4303732815085223,0.3791459554396639,0.4742564569744534,0.5707355254276477,0.1183156875452894,0.4080915874142145,Sudan,Sudan,176.0,0.511
Guinea,GIN,185,0.4280899780757092,0.5907490536412053,0.3861107034122164,0.4435061064366754,0.3113435951204359,0.4895232699257048,Guinea,Guinea,179.0,0.5
Haiti,HTI,186,0.4237217320887951,0.4727091989951009,0.452255327101878,0.4264980498776745,0.1784309206452536,0.5737344066575418,Haiti,Haiti,166.0,0.554
Ethiopia,ETH,187,0.4218515756102788,0.5887014612297313,0.4912359309559988,0.2793890005806461,0.2721053598232658,0.6065209736854819,Ethiopia,Ethiopia,180.0,0.497
Afghanistan,AFG,188,0.4137833832442777,0.5277783491887105,0.3641524019696037,0.6796598604233811,0.0811256655541953,0.2379534651625463,Afghanistan,Afghanistan,181.0,0.496
Liberia,LBR,189,0.4122822704657946,0.6110621272055702,0.2314667217090353,0.3673542444373799,0.3688613799434126,0.7746704060653403,Liberia,Liberia,177.0,0.51
Malawi,MWI,190,0.411632428159649,0.5556363933737378,0.3101131896957052,0.3741775981524126,0.4530796984827166,0.5521306513028832,Malawi,Malawi,172.0,0.517
Sierra Leone,SLE,191,0.4093806700549576,0.579870325094217,0.384215111050084,0.3280884308370968,0.375035652476531,0.54298151405268,Sierra Leone,Sierra Leone,185.0,0.467
Togo,TGO,192,0.406546634305315,0.6283864018049844,0.3237797385241484,0.3954792598425667,0.3760192333031433,0.4768493974622038,Togo,Togo,161.0,0.571
Mauritania,MRT,193,0.3953663820118628,0.549816602664187,0.3262053426248386,0.553494480462598,0.3815590110754152,0.128272821052673,Mauritania,Mauritania,163.0,0.563
Papua New Guinea,PNG,194,0.3928690969043369,0.6272787678980288,0.339405528184252,0.1936535543857706,0.3854290405174208,0.7493942617727608,Papua New Guinea,Papua New Guinea,160.0,0.576
Benin,BEN,195,0.3867646700604099,0.6342570828355126,0.228824436083344,0.4017517875346018,0.4707861606368954,0.4236544706396041,Benin,Benin,173.0,0.515
Mali,MLI,196,0.3835305920409879,0.6184377716321731,0.2094467063183308,0.5747356806081582,0.1739044825120363,0.4023095094867895,Mali,Mali,188.0,0.419
Nigeria,NGA,197,0.3804726084720704,0.5741359024491328,0.1402888099671026,0.5775625633251696,0.2393737956080343,0.4786502459884681,Nigeria,Nigeria,164.0,0.56
Madagascar,MDG,198,0.3622537103271846,0.6102476464358676,0.2435492523561475,0.2403062709646349,0.376995402383084,0.663486522199337,Madagascar,Madagascar,183.0,0.487
Burundi,BDI,199,0.3595174084122338,0.612412359997985,0.2780222369592758,0.3060101496944533,0.2642513400849794,0.5561917026904645,Burundi,Burundi,187.0,0.439
"Somalia, Fed. Rep.",SOM,200,0.3140891624367722,0.4632541587228836,0.0679806666248195,0.4903048893548448,0.0541819098459947,0.6143386219579025,Somalia,Somalia,192.0,0.404
"Congo, Dem. Rep.",COD,201,0.3047048630843939,0.6035914219335471,0.2847103063971092,0.0809528468103504,0.1301128061336692,0.7675323600583391,Congo (Democratic Republic of the),Congo (Democratic Republic of the),171.0,0.522
Central African Republic,CAF,202,0.2984542870385014,0.5880979660962115,0.3353762862381531,0.0609301928503268,0.1539287324209339,0.6510882455946415,Central African Republic,Central African Republic,191.0,0.414
Burkina Faso,BFA,203,0.287057885339095,0.611900737773731,0.1903003468404213,0.2113538454353605,0.2663451660712857,0.4361318597886303,Burkina Faso,Burkina Faso,186.0,0.459
South Sudan,SSD,204,0.2551443067354008,0.4085778298169097,0.4313416730004253,0.0362191055123816,0.115371758695362,0.3780835093037558,South Sudan,South Sudan,193.0,0.388
Niger,NER,205,0.2450043758737663,0.6342102952871226,0.1598964486906307,0.1659970912122323,0.280336239574509,0.2784323229201251,Niger,Niger,188.0,0.419
Chad,TCD,206,0.2136044050238552,0.6281807558878708,0.0743637769944128,0.11926263726861,0.2150280800671616,0.4029612876405798,Chad,Chad,190.0,0.416
