Country,Country Code,gdp_per_capita,inflation,unemployment_rate,life_expectancy,secondary_enrollment,electricity_access,drinking_water_access,sanitation_access,government_effectiveness,political_stability,rule_of_law,forest_area,pm25_exposure,renewable_energy,gdp_per_capita_normalised,life_expectancy_normalised,secondary_enrollment_normalised,electricity_access_normalised,drinking_water_access_normalised,sanitation_access_normalised,government_effectiveness_normalised,political_stability_normalised,rule_of_law_normalised,forest_area_normalised,renewable_energy_normalised,inflation_normalised,unemployment_rate_normalised,pm25_exposure_normalised
Chile,CHL,16709.8893972307,4.29763891572524,8.718,81.359,105.608551025391,100.0,99.0811612150969,99.9999955987514,0.964461,0.1213566,0.6910553,25.0116461113584,23.2750668049145,24.2,0.05730193020096828,0.8387420751992968,0.6589015099502096,1.0,0.985714268803293,0.9999999509020906,0.7046212704374644,0.662814474283023,0.6852842940794684,0.26482039223193404,0.2512980269989616,0.9285271882334689,0.7511662272187293,0.7709019634307466
China,CHN,13303.1481543868,0.218128938439177,4.59,78.017,92.65956406180274,100.0,96.1224151867516,97.2718787578263,0.8957842,-0.153336399999999,-0.579319799999999,24.0319389958256,34.8105237153218,15.2,0.04546400725314721,0.7338522377754063,0.5754666519440108,1.0,0.9397128906129688,0.9695665794451094,0.6891968521041544,0.5994177041757476,0.38472616154545014,0.2544473675436473,0.15784008307372793,0.9460975816329885,0.870773331788022,0.6271170377197309
Colombia,COL,7919.20886825345,6.60908593728228,9.619,77.913,101.573776245117,98.7,97.0965711084738,96.5820151977995,-0.111099099999999,-0.9708732,-0.5597434,52.7661596214511,14.1832514905064,29.7,0.026755612960251484,0.7305881614462368,0.6329040429803404,0.9862579281183933,0.9548586701229961,0.961870840882163,0.46305659466607413,0.4107372770668007,0.38935774337174595,0.5586819446153841,0.308411214953271,0.9185718176823412,0.7250601222727668,0.8842278593803927
Comoros,COM,1662.75663312504,5.05192609588218,3.815,67.023,54.8057289123535,89.8,85.0539278589302,57.2230888156822,-1.2085975,-0.221274299999999,-1.1308597,16.9801182160129,11.9332724091044,39.3,0.005015364961743132,0.38880170736300285,0.331561134889636,0.8921775898520085,0.7676245576894842,0.5228042991688058,0.21656470159973584,0.5837382240729743,0.2542372985615963,0.17978351149255595,0.40809968847352024,0.9252784837161708,0.8932286384840495,0.912272962195423
"Congo, Dem. Rep.",COD,649.383338556725,3.117463837096035,4.421,62.074,55.4860992431641,22.1,35.6813611952254,16.3033122368932,-1.6934449,-2.1191762,-1.6266053,54.1898572594341,26.6494833206385,96.3,0.0014940423477411962,0.23347561358357918,0.33594499921063936,0.1765327695560254,0.0,0.06632577087502615,0.10767073558184276,0.14571886995597125,0.13694881286319388,0.573755889178318,1.0,0.93361018607568,0.8756700373772203,0.7288411909966993
"Congo, Rep.",COG,2482.2489948456,3.09143630919166,19.895,66.001,92.65956406180274,51.3,97.0965711084738,92.9912822357176,-1.110638,-0.2584147,-1.1785603,64.1317715959004,28.5737499496554,71.4,0.007862979952976678,0.35672588035904856,0.5754666519440108,0.48520084566596194,0.9548586701229961,0.9218145982760696,0.23856584765956784,0.5751665407738282,0.24295181031741378,0.6790197187718314,0.7414330218068537,0.9337222862806172,0.4273172427780837,0.7048559655782106
Costa Rica,CRI,18587.1532203482,-0.412853001047069,6.936,80.996,121.810760498047,100.0,99.8154123406248,98.7888406524124,0.2868975,1.1756544,0.6167412,60.3991382687035,14.3075712471404,34.2,0.06382514488229392,0.8273491933965224,0.7632980199273222,1.0,0.9971301062521634,0.98648897225889,0.5524443654072121,0.9061372937622474,0.667702316034601,0.6394990323937614,0.3551401869158879,0.948815212173542,0.8027989453249501,0.8826782625927783
Cote d'Ivoire,CIV,2727.8935220697,3.45053028131018,2.273,62.11,65.3065056618336,72.4,77.2470593822361,40.4070687976128,-0.3157177,-0.8438331,-0.578144099999999,7.85551603773585,49.4977827339493,58.2,0.008716558425348513,0.234605486159061,0.3992213170730987,0.7082452431289641,0.6462465462488167,0.3352140259221518,0.4171004219093903,0.44005703408319835,0.3850043204895449,0.08317328771706636,0.604361370716511,0.9321756734784306,0.9379074551618231,0.444046140459777
Croatia,HRV,24050.4397933135,2.97200477643618,5.0,78.9292682926829,105.025161743164,100.0,99.903181204483,92.9912822357176,0.7097625,0.5814089,0.3774835,34.785739814153,16.1208592960264,34.1,0.0828092592844314,0.7624840968138505,0.655142528489975,1.0,0.9984947008003255,0.9218145982760696,0.6474174372235328,0.7689905686881351,0.6110963202886324,0.36830735652695085,0.3541017653167186,0.9342366762506148,0.8588937501810913,0.8600763414528778
Cuba,CUB,9605.27914559614,3.117463837096035,1.755,78.264,91.7456844321038,100.0,95.1464064347704,94.7703506688301,-0.2695183,0.3155266,-0.6235716,31.233140655106,21.2367242811561,20.9,0.032614458292200464,0.741604419057184,0.5695782054305425,1.0,0.924538304052708,0.941660907517701,0.42747654415661085,0.7076272319860942,0.3742566251311508,0.33069285092612094,0.2170301142263759,0.93361018607568,0.9529162924115551,0.7963090999341811
